Start_time,Depthsum,Depths
2020.04.23,12636184,581098
2020.04.24,19033140,875886
2020.04.25,7142154,329906
2020.04.26,17105649,790626
2020.04.27,6857212,318065
2020.04.28,15852406,733810
2020.04.29,14809205,682915
2020.04.30,13312381,615226
2020.05.01,24061380,1109478
2020.05.02,20628820,952282
2020.05.03,40499117,1868832
2020.05.04,4643601,215526
2020.05.05,43181568,1987773
2020.05.06,57617335,2654324
2020.05.07,11369131,532366
2020.05.08,15635239,720364
2020.05.09,3527510,163727
2020.05.10,2027801,94032
2020.05.11,1560191,72194
2020.05.12,11375300,525455
2020.05.13,6115568,286996
2020.05.14,8670713,402786
2020.05.15,10153221,480958
2020.05.16,7928955,382030
2020.05.17,8924868,428928
2020.05.18,5618178,269356
2020.05.19,8619812,413412
2020.05.20,10956813,523572
2020.05.21,6751553,320348
2020.05.22,10918273,515874
2020.05.23,30699409,1453534
2020.05.24,21716051,1028441
2020.05.25,6839213,325102
2020.05.26,5284370,250540
2020.05.27,7883921,374123
2020.05.28,12013096,569546
2020.05.29,8756200,415648
2020.05.30,11566991,549283
2020.05.31,10910911,518149
2020.06.01,10614140,505293
2020.06.02,7780627,370624
2020.06.03,9672533,460334
2020.06.04,14804377,705223
2020.06.05,11028771,525314
2020.06.06,8356603,397380
2020.06.07,2446062,116376
2020.06.08,13002552,618768
2020.06.09,5111248,240726
2020.06.10,3491752,164645
2020.06.11,6514426,310225
2020.06.12,12936977,615007
2020.06.13,43321048,2046681
2020.06.14,33890531,1584532
2020.06.15,11064045,518265
2020.06.16,8488780,395560
2020.06.17,67626348,3136109
2020.06.18,36647457,1700472
2020.06.19,8938328,417260
2020.06.20,7987054,372822
2020.06.21,6955200,324649
2020.06.22,10607482,495179
2020.06.23,10646088,497642
2020.06.24,6526379,305147
2020.06.25,9148543,427401
2020.06.26,9379140,438849
2020.06.27,8444119,395000
2020.06.28,116804536,5427666
2020.06.29,13219897,615231
2020.06.30,8416399,391410
2020.07.01,8106171,377251
2020.07.02,5290487,247242
2020.07.03,5631501,262636
2020.07.04,6793086,316308
2020.07.05,4488661,208891
2020.07.06,4083620,190025
2020.07.07,5068901,236102
2020.07.08,7278511,338931
2020.07.09,4223062,196660
2020.07.10,5335113,248577
2020.07.11,2801216,130666
2020.07.12,8867297,412423
2020.07.13,5008330,232976
2020.07.14,11477731,534057
2020.07.15,5864246,271534
2020.07.16,8329122,385424
2020.07.17,8194773,380694
2020.07.18,1738011,80622
2020.07.19,8261786,383570
2020.07.20,4999404,230800
2020.07.21,2510556,116464
2020.07.22,5735475,266219
2020.07.23,7548535,349919
2020.07.24,2774140,128528
2020.07.25,1919672,88995
2020.07.26,5556247,257714
2020.07.27,6138216,284527
2020.07.28,5183373,240439
2020.07.29,2626395,121827
2020.07.30,6726096,312151
2020.07.31,5813975,269912
2020.08.01,8294582,384262
2020.08.02,10056223,465731
2020.08.03,11725784,543334
2020.08.04,10086112,466704
2020.08.05,8887491,409819
2020.08.06,8945966,414293
2020.08.07,7703903,363431
2020.08.08,14901604,735308
2020.08.09,12845176,630557
2020.08.10,47901544,2317328
2020.08.11,6809271,326258
2020.08.12,10124927,475272
2020.08.13,11209337,524320
2020.08.14,9979456,465344
2020.08.15,14030902,642714
2020.08.16,6573712,304403
2020.08.17,6939481,320382
2020.08.18,6361420,290994
2020.08.19,8246303,377624
2020.08.20,10674379,489729
2020.08.21,10380950,474500
2020.08.22,14103640,647763
2020.08.23,12496402,575185
2020.08.24,11438677,525960
2020.08.25,11360901,518949
2020.08.26,15324654,700076
2020.08.27,10506950,480890
2020.08.28,8604519,397066
2020.08.29,13426213,620501
2020.08.30,10529797,487779
